书名,作者,出版社,出版时间,价格,评分,评价人数,简介,书籍链接,出版年份,主要作者,译者编者,评价区间,价格区间,出版年代,评分等级,出版社热度,作者热度,热度指数,简介关键词
红楼梦,[清] 曹雪芹 著,人民文学出版社,1996-12,59.7,9.6,455918,都云作者痴，谁解其中味？,https://book.douban.com/subject/1007305/,1996.0,[清] 曹雪芹 著,,10-50万,40-60元,1990.0年代,9分以上神作,20,1,54.32531269273922,"['都云作者', '谁解其中']"
活着,余华,作家出版社,2012-8,28.0,9.4,901066,生的苦难与伟大,https://book.douban.com/subject/4913064/,2012.0,余华,,50-100万,20-40元,2010.0年代,9分以上神作,4,3,55.97471206564569,"['生的苦难', '与伟大']"
哈利·波特,J.K.罗琳 (J.K.Rowling),苏农,人民文学出版社,1.0,9.7,130202,从9¾站台开始的旅程,https://book.douban.com/subject/24531956/,,J.K.罗琳 (J.K.Rowling),,10-50万,0-20元,未知,9分以上神作,1,1,49.611791257099995,"['站台开始', '的旅程']"
1984,[英] 乔治·奥威尔,刘绍铭,北京十月文艺出版社,1.0,9.4,306791,栗树荫下，我出卖你，你出卖我,https://book.douban.com/subject/4820710/,,[英] 乔治·奥威尔,,10-50万,0-20元,未知,9分以上神作,1,2,51.57632058128487,"['你出卖我', '栗树荫下', '我出卖你']"
三体全集,刘慈欣,重庆出版社,2012-1,168.0,9.5,211061,地球往事三部曲,https://book.douban.com/subject/6518605/,2012.0,刘慈欣,,10-50万,100元以上,2010.0年代,9分以上神作,1,2,50.58187591907171,"['地球往事', '三部曲']"
百年孤独,[哥伦比亚] 加西亚·马尔克斯,范晔,南海出版公司,6.0,9.3,464974,魔幻现实主义文学代表作,https://book.douban.com/subject/6082808/,,[哥伦比亚] 加西亚·马尔克斯,,10-50万,0-20元,未知,9分以上神作,1,3,52.707086622432136,"['代表作', '主义文学', '魔幻现实']"
飘,[美国] 玛格丽特·米切尔,李美华,译林出版社,9.0,9.3,225529,革命时期的爱情，随风而逝,https://book.douban.com/subject/1068920/,,[美国] 玛格丽特·米切尔,,10-50万,0-20元,未知,9分以上神作,1,1,49.78478226644555,"['的爱情', '随风而逝', '革命时期']"
动物农场,[英] 乔治·奥威尔,荣如德,上海译文出版社,3.0,9.3,177016,太阳底下并无新事,https://book.douban.com/subject/2035179/,,[英] 乔治·奥威尔,,10-50万,0-20元,未知,9分以上神作,3,2,48.80651646246576,"['并无新事', '太阳底下']"
房思琪的初恋乐园,林奕含,北京联合出版公司,2018-2,45.0,9.2,415662,向死而生的文学绝唱,https://book.douban.com/subject/27614904/,2018.0,林奕含,,10-50万,40-60元,2010.0年代,9分以上神作,2,1,51.69241097096881,"['向死而生', '的文学绝']"
三国演义（全二册）,[明] 罗贯中,人民文学出版社,1998-05,39.5,9.3,180488,是非成败转头空,https://book.douban.com/subject/1019568/,1998.0,[明] 罗贯中,,10-50万,20-40元,1990.0年代,9分以上神作,20,1,48.88496949242238,"['转头空', '是非成败']"
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔,丁钟华 等,群众出版社,8.0,9.3,143539,名侦探的代名词,https://book.douban.com/subject/1040211/,,[英] 阿·柯南道尔,,10-50万,0-20元,未知,9分以上神作,1,1,47.95982022146676,"['代名词', '名侦探的']"
白夜行,[日] 东野圭吾,刘姿君,南海出版公司,1.0,9.2,520287,一宗离奇命案牵出跨度近20年步步惊心的故事,https://book.douban.com/subject/10554308/,,[日] 东野圭吾,,50-100万,0-20元,未知,9分以上神作,1,4,52.58943536685983,"['一宗离奇', '跨度近', '命案牵出']"
小王子,[法国] 安东尼·德·圣-埃克苏佩里,马振骋,人民文学出版社,8.0,9.1,791005,献给长成了大人的孩子们,https://book.douban.com/subject/1084336/,,[法国] 安东尼·德·圣-埃克苏佩里,,50-100万,0-20元,未知,9分以上神作,1,1,53.6734309812909,"['孩子们', '献给长成', '了大人的']"
呐喊,鲁迅,人民文学出版社,1973-3,0.36,9.2,174589,新文学的第一声呐喊,https://book.douban.com/subject/1449351/,1973.0,鲁迅,,10-50万,0-20元,1970.0年代,9分以上神作,20,6,48.226555272611684,"['新文学的', '第一声呐']"
邓小平时代,【美】傅高义 (Ezra.F.Vogel),冯克利,生活·读书·新知三联书店,18.0,9.3,84002,个人命运背后的历史变局,https://book.douban.com/subject/20424526/,,【美】傅高义 (Ezra.F.Vogel),,5-10万,0-20元,未知,9分以上神作,1,1,45.7958935244374,"['背后的历', '个人命运', '史变局']"
安徒生童话故事集,（丹麦）安徒生,叶君健,人民文学出版社,8.0,9.3,142191,为了争取未来的一代,https://book.douban.com/subject/1046209/,,（丹麦）安徒生,,10-50万,0-20元,未知,9分以上神作,2,1,47.921710609341496,"['未来的一', '为了争取']"
撒哈拉的故事,三毛,哈尔滨出版社,2003-8,15.8,9.2,193969,游荡的自由灵魂,https://book.douban.com/subject/1060068/,2003.0,三毛,,10-50万,0-20元,2000.0年代,9分以上神作,4,6,48.64713740668082,"['游荡的自', '由灵魂']"
